year,Var,Overall,0-9 years,10-19 years,20+ years
1880,B0,60.17,56.16,32.93,354.89
1880," ""Btenure""",9.05,9.71,11.07,-3.32
1880," ""SEtenure""",0.3,0.42,1.34,3.47
1880," ""βtenure""",0.9,0.9,0.68,-0.48
1880," ""R2""",0.82,0.82,0.46,0.23
1885,B0,59.54,68.55,55.36,-169.89
1885," ""Btenure""",11.87,10.7,11.72,22.65
1885," ""SEtenure""",0.39,0.35,0.79,6.9
1885," ""βtenure""",0.89,0.95,0.84,0.53
1885," ""R2""",0.8,0.89,0.7,0.28
1890,B0,67.64,67.06,97.36,-59.19
1890," ""Btenure""",10.09,11.08,7.54,15.48
1890," ""SEtenure""",0.31,0.35,0.67,3.56
1890," ""βtenure""",0.88,0.95,0.73,0.5
1890," ""R2""",0.78,0.9,0.53,0.25
1895,B0,85.18,71.55,124.53,52.57
1895," ""Btenure""",8.92,11.87,6.48,10.06
1895," ""SEtenure""",0.31,0.38,0.69,2.25
1895," ""βtenure""",0.84,0.94,0.65,0.42
1895," ""R2""",0.71,0.88,0.42,0.18
1900,B0,88.28,64.93,114.25,143.91
1900," ""Btenure""",7.14,11.11,6.12,4.96
1900," ""SEtenure""",0.22,0.22,0.62,1.21
1900," ""βtenure""",0.86,0.97,0.7,0.33
1900," ""R2""",0.73,0.95,0.5,0.11
1905,B0,92.38,64.99,106.21,186.48
1905," ""Btenure""",6.5,10.86,6.74,3.01
1905," ""SEtenure""",0.2,0.21,0.52,1
1905," ""βtenure""",0.84,0.97,0.78,0.24
1905," ""R2""",0.71,0.94,0.6,0.06
1910,B0,89.82,53.55,85.96,231.72
1910," ""Btenure""",6.33,11.83,8.02,1
1910," ""SEtenure""",0.16,0.19,0.49,0.71
1910," ""βtenure""",0.87,0.97,0.82,0.12
1910," ""R2""",0.76,0.95,0.68,0.01
1913,B0,76.62,53.25,49.84,206.17
1913," ""Btenure""",7.74,10.61,10.77,3.09
1913," ""SEtenure""",0.17,0.24,0.64,0.83
1913," ""βtenure""",0.86,0.93,0.76,0.24
1913," ""R2""",0.74,0.87,0.57,0.06
