year,into,out,total.now,total.last,ten.keep,ten.out,per.in,per.out
1890,46,7,105,66,0.898305085,1.142857143,0.696969697,0.106060606
1891,30,6,129,105,1.101010101,0.5,0.285714286,0.057142857
1892,22,3,148,129,1.650793651,1,0.170542636,0.023255814
1893,38,8,178,148,2.342857143,1.625,0.256756757,0.054054054
1894,26,6,198,178,2.674418605,3.333333333,0.146067416,0.033707865
1895,34,10,222,198,3.255319149,2,0.171717172,0.050505051
1896,36,27,231,222,3.892307692,2.074074074,0.162162162,0.121621622
1897,81,31,281,231,4.26,3.35483871,0.350649351,0.134199134
1898,55,29,307,281,3.805555556,3.379310345,0.195729537,0.103202847
1899,45,40,312,307,4.003745318,3.875,0.146579805,0.13029316
1900,104,58,358,312,4.566929134,3.465517241,0.333333333,0.185897436
1901,44,106,296,358,4.492063492,3.886792453,0.122905028,0.296089385
1902,27,27,296,296,4.817843866,3.259259259,0.091216216,0.091216216
1903,42,28,310,296,5.555970149,2.857142857,0.141891892,0.094594595
1904,28,37,301,310,5.934065934,4.486486486,0.090322581,0.119354839
1905,50,25,326,301,6.496376812,5.64,0.166112957,0.083056478
1906,143,31,438,326,6.603389831,5.161290323,0.438650307,0.095092025
1907,69,29,478,438,5.992665037,5.413793103,0.157534247,0.066210046
1908,50,29,499,478,6.296213808,2.965517241,0.10460251,0.060669456
1909,60,51,508,499,6.796875,4.823529412,0.120240481,0.102204409
1910,42,36,514,508,6.966101695,6.472222222,0.082677165,0.070866142
1911,64,40,538,514,7.552742616,4.925,0.124513619,0.077821012
1912,58,37,559,538,7.666666667,6.027027027,0.107806691,0.068773234
1913,69,42,586,559,7.876208897,6.452380952,0.123434705,0.075134168
1914,56,87,555,586,8.430861723,6.67816092,0.09556314,0.148464164
1915,40,118,477,555,9.464530892,5.152542373,0.072072072,0.212612613
1916,28,92,413,477,10.42337662,6.239130435,0.05870021,0.192872117
1917,17,100,330,413,11.56549521,8.11,0.041162228,0.242130751
1918,13,70,273,330,12.73076923,9.442857143,0.039393939,0.212121212
1919,361,58,576,273,14.64651163,8.603448276,1.322344322,0.212454212
1920,70,19,627,576,9.170556553,9.894736842,0.121527778,0.032986111
1921,112,57,682,627,9.819298246,5.245614035,0.178628389,0.090909091
1922,75,77,680,682,9.662809917,5.649350649,0.109970674,0.112903226
1923,51,62,669,680,9.86407767,6.096774194,0.075,0.091176471
1924,70,41,698,669,10.33598726,7.317073171,0.104633782,0.061285501
1925,88,100,686,698,10.63377926,7.69,0.126074499,0.143266476
1926,75,14,747,686,10.6875,7.5,0.109329446,0.020408163
1927,53,40,760,747,10.55021216,10.125,0.070950469,0.053547523
1928,37,74,723,760,10.98250729,8.635135135,0.048684211,0.097368421
1929,73,48,748,723,11.18222222,14.52083333,0.100968188,0.066390041
1930,44,104,688,748,11.23136646,11.26923077,0.058823529,0.139037433
