"","year","into","out","total.now","total.last","ten.keep","ten.out","per.in","per.out"
"1",1902,12,1,45,34,1.39393939393939,0,0.352941176470588,0.0294117647058824
"2",1903,13,6,52,45,1.79487179487179,1.5,0.288888888888889,0.133333333333333
"3",1904,5,1,56,52,2.07843137254902,3,0.0961538461538462,0.0192307692307692
"4",1905,17,2,71,56,2.7962962962963,3.5,0.303571428571429,0.0357142857142857
"5",1906,39,5,105,71,2.93939393939394,2.8,0.549295774647887,0.0704225352112676
"6",1907,8,5,108,105,2.68,2.6,0.0761904761904762,0.0476190476190476
"7",1908,4,2,110,108,3.50943396226415,1,0.037037037037037,0.0185185185185185
"8",1909,10,6,114,110,4.36538461538461,4,0.0909090909090909,0.0545454545454545
"9",1910,3,6,111,114,4.92592592592593,4.33333333333333,0.0263157894736842,0.0526315789473684
"10",1911,17,4,124,111,5.77570093457944,5.5,0.153153153153153,0.036036036036036
"11",1912,8,6,126,124,5.79661016949153,7.83333333333333,0.0645161290322581,0.0483870967741935
"12",1913,16,8,134,126,6.33898305084746,6.75,0.126984126984127,0.0634920634920635
"13",1914,19,19,134,134,6.7304347826087,5.36842105263158,0.141791044776119,0.141791044776119
"14",1915,9,9,134,134,6.56,7.66666666666667,0.0671641791044776,0.0671641791044776
"15",1916,6,8,132,134,7.25396825396825,4.625,0.0447761194029851,0.0597014925373134
"16",1917,5,13,124,132,8.07563025210084,6.15384615384615,0.0378787878787879,0.0984848484848485
"17",1918,1,15,110,124,8.8256880733945,9.2,0.00806451612903226,0.120967741935484
"18",1919,182,27,265,110,9.81927710843373,9.48148148148148,1.65454545454545,0.245454545454545
"19",1920,22,7,280,265,4.89922480620155,7.14285714285714,0.0830188679245283,0.0264150943396226
"20",1921,61,25,316,280,5.63921568627451,4.44,0.217857142857143,0.0892857142857143
"21",1922,18,44,290,316,5.85661764705882,4.63636363636364,0.0569620253164557,0.139240506329114
"22",1923,14,38,266,290,6.73809523809524,4.81578947368421,0.0482758620689655,0.131034482758621
"23",1924,25,20,271,266,7.35365853658537,7.8,0.093984962406015,0.075187969924812
"24",1925,29,45,255,271,7.57522123893805,7.75555555555556,0.107011070110701,0.166051660516605
"25",1926,24,2,277,255,7.97233201581028,11,0.0941176470588235,0.00784313725490196
"26",1927,12,19,270,277,8.16666666666667,8.68421052631579,0.0433212996389892,0.0685920577617329
"27",1928,11,34,247,270,8.82203389830508,8.32352941176471,0.0407407407407407,0.125925925925926
"28",1929,29,8,268,247,9.56485355648535,4.375,0.117408906882591,0.0323886639676113
"29",1930,12,23,257,268,9.7469387755102,9.17391304347826,0.0447761194029851,0.0858208955223881
